Company Common Name,Instrument,Issuer Ticker
Johnson Controls Inc,JCI.N^I16,JCIJH
W R Berkley Corp,WRB.N,WRB
Berkley Renewables Inc,BKS.CD,
Berkshire Hathaway Inc,BRKa.N,BRK
Berry Petroleum Company LLC,BRY.N^L13,BRYBP
Best Buy Co Inc,BBY.N,BBY
Ocean Wilsons Holdings Ltd,OCN.L^L25,HANXO
Northeast Bank,NBN.OQ,NBN
Johnson Outdoors Inc,JOUT.OQ,JOUT
Jones Group Inc,JNY.N^D14,JASPPO
Eastern Platinum Ltd,ELR.TO,ELR
Jemtec Inc,JTC.V,
KLA Corp,KLAC.OQ,KLAC
Sears Holdings Corp,SHLDQ.PK^K22,SHLDQ
Kinder Morgan Kansas Inc,KMI.N^E07,KMIKMM
Kaman Corp,KAMN.N^D24,OVTIOK
iSign Solutions Inc,ISGN.PK^C25,ISGSL
Kansas City Life Insurance Co,KCLI.PK,KCLI
Great Plains Energy Inc,GXP.N^F18,EVRGP
Kansas City Southern (Pre-Merger),KSU.N^L21,CPKSC
KB Home,KBH.N,KBH
Bio Rad Laboratories Inc,BIO.N,BIO
Kellanova,K.N^L25,K
Touchpoint Group Holdings Inc,TGHI.PK,TGHI
Signet Jewelers Ltd,SIG.N,SIG
Kelly Services Inc,KELYA.OQ,KELYA
Kelso Technologies Inc,KLS.TO,
Biomerica Inc,BMRA.OQ,BMRA
Biomet Inc,BMET.OQ^J07,ZBHET
PwrCor Inc,PWCO.PK,
Dominari Holdings Inc,DOMH.OQ,
DWS Municipal Income Trust,KTF.N,
Black & Decker Corp,BDK.N^C10,SWKBLA
Black Hills Corp,BKH.N,BKH
Kenilworth Systems Corp,GAMG.PK,GBASMK
