Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Honeywell International Inc,HON.OQ,HON,1300.0,HONEYWELL INTERNATIONAL INC
Gold Reserve Ltd,GRZ.V,GRZ,5205.0,GOLD RESERVE LTD
Greenfirst Forest Products Inc,GFP.TO,GFP,106897.0,GREENFIRST FOREST PRDCTS INC
Goldcorp Inc,G.TO^D19,NEMLD,15037.0,GOLDCORP INC
Allied Waste Industries LLC,AW.N^L08,RSGAL,,
Liberty All-Star Growth Fund Inc,ASG.N,,14714.0,LIBERTY ALL-STAR GROWTH FUND
Invesco Municipal Income Opportunities Trust,OIA.N,,,
Kirkland Lake Gold Inc (Pre-Merger),KLG.TO^L16,KLDKG,,
Sociedad Matriz del Banco de Chile SA en liquidacion,CHI_pb.SN^F19,QUINES,,
Golden Band Resources Inc,GBRIF.PK,,106657.0,GOLDEN BAND RESOURCES INC
MTY Food Group Inc,MTY.TO,MTY,106660.0,MTY FOOD GROUP INC
Skyworks Solutions Inc,SWKS.OQ,SWKS,1327.0,SKYWORKS SOLUTIONS INC
Innovative Food Holdings Inc,IVFH.PK,,264393.0,INNOVATIVE FOOD HOLDINGS
Golden Enterprises Inc,GLDC.O^J16,UTZQFG,5210.0,GOLDEN ENTERPRISES
Altera Corp,ALTR.OQ^L15,INTCAL,14324.0,ALTERA CORP
Altex Industries Inc,ALTX.PK,ALTX,12088.0,ALTEX INDUSTRIES INC
Howmet Aerospace Inc,HWM.N,HWM,28192.0,HOWMET AEROSPACE INC
Golden Star Resources Ltd,GSC.TO^B22,GUORBG,20488.0,GOLDEN STAR RESOURCES LTD
Titan Logix Corp,TLA.V,,108532.0,TITAN LOGIX CORP
Golden West Financial Corp (Oakland),GDW.N^J06,GDWCL,,
Goldfield Corp,GV.A^L20,FRUTVO,5218.0,GOLDFIELD CORP
Hess Corp,HES.N^G25,HES,1380.0,HESS CORP
Jaguar Mining Inc,JAG.TO,JAG,28852.0,JAGUAR MINING INC
Greystone Housing Impact Investors LP,GHI.N,GHIPT,16641.0,GREYSTONE HSG IMPT INVTS LP
Western Pacific Trust Co,WP.V,WPX,,
Bankers Petroleum Ltd (Pre-Merger),BNK.TO^J16,,,
Orygen Peru SAA,ORYGENC1.LM,ENGEP,,
Goodfellow Inc,GDL.TO,GDLX,18582.0,GOODFELLOW INC
Goodheart-Willcox Company Inc,GWOX.PK,,,
