gvkey,year,total_assets,market_cap
25567.0,2013,,431317045.28
25567.0,2014,,
25567.0,2014,,470583461.92
25567.0,2015,792721364,
25567.0,2015,,485615137.04
25567.0,2016,800692362,
25567.0,2016,,451907370.88
25567.0,2017,781822802,
25567.0,2017,,465722473.93
25567.0,2018,808439976,
25567.0,2018,,398644979.04
25567.0,2019,795935887,
25567.0,2019,,462219332.4
25567.0,2020,764406296,
25567.0,2020,,506975502.0
25567.0,2021,1941119770,
25567.0,2021,,1181834553.0
25567.0,2022,,
25567.0,2022,,849397820.0
25567.0,2023,1480665626,
25567.0,2023,,885400280.51
4476.0,2010,333314000,
4476.0,2010,,309076947.7
4476.0,2011,298215000,
4476.0,2011,,291284461.0
4476.0,2012,271652000,
4476.0,2012,,408762234.9
4476.0,2013,293168000,
4476.0,2013,,560135943.9
4476.0,2014,302217000,
4476.0,2014,,480165183.599999
4476.0,2015,283100000,
4476.0,2015,,296785654.14
4476.0,2016,255373000,
4476.0,2016,,539955452.959999
4476.0,2017,337062000,
4476.0,2017,,661066127.13
106351.0,2009,37225445.90226,
106351.0,2010,35206180.3953,325515974.459999
106351.0,2011,,158499462.81
106351.0,2011,67243000.0,
106351.0,2012,71143000.0,154100501.52
106351.0,2013,65077000.0,59912718.7299999
106351.0,2014,43811000.0,36242248.0199999
106351.0,2015,38021000.0,17037017.5099999
106351.0,2016,,123570916.8
106351.0,2016,44799000.0,
106351.0,2017,,155832670.96
106351.0,2017,57308000.0,
106351.0,2018,50155000.0,68118722.3399999
106351.0,2019,55582000.0,113843749.36
106351.0,2020,73279000.0,123977906.64
106351.0,2021,41560000.0,49294461.8
106351.0,2022,,16122946.84
106351.0,2022,26664000.0,
106351.0,2023,,4218362.49999999
14701.0,2009,,
14701.0,2010,,22562575.48
14701.0,2011,,23419539.8699999
14701.0,2011,,
14701.0,2012,,54314161.04
14701.0,2013,,104844382.5
14701.0,2014,,86901423.27
14701.0,2015,,127761027.0
14701.0,2016,,116979774.89
14701.0,2016,,
14701.0,2017,,201724246.05
14701.0,2017,,
14701.0,2018,,251450308.01
14701.0,2019,417310256,429274224.61
14701.0,2020,392738727,458694276.0
14701.0,2021,626082743,855612078.75
14701.0,2022,,689761876.0
14701.0,2022,640340429,
14701.0,2023,,726696488.839999
20392.0,2010,148847000,
20392.0,2010,,153423086.249999
20392.0,2011,162921000,
20392.0,2011,,133348484.749999
20392.0,2012,177644000,
20392.0,2012,,250773449.149999
20392.0,2013,195103000,
20392.0,2013,,342203458.8
20392.0,2014,290632000,
20392.0,2014,,496898368.919999
20392.0,2015,342816000,
20392.0,2015,,716898284.999999
20392.0,2016,452941000,
20392.0,2016,,458967113.219999
20392.0,2017,431221000,
20392.0,2017,,430391194.74
20392.0,2018,447884000,
20392.0,2018,,377821349.43
20392.0,2019,422735000,
20392.0,2019,,321384367.589999
20392.0,2020,409780000,
20392.0,2020,,362452842.31
20392.0,2021,430127000,
20392.0,2021,,404878824.07
20392.0,2022,581637000,
20392.0,2022,,299625972.8
20392.0,2023,612071000,
20392.0,2023,,306371374.08
4497.0,2009,225176000,
4497.0,2010,201393000,297973134.89
4497.0,2011,,264134979.42
4497.0,2011,213426000,
4497.0,2012,235431000,187809349.6
4497.0,2013,240545000,299142552.18
4497.0,2014,219329000,223945486.38
4497.0,2015,182192000,99213837.18
4497.0,2016,,229543836.85
4497.0,2016,162555000,
4497.0,2017,,369972017.1
4497.0,2017,173083000,
4497.0,2018,240418000,523236830.159999
4497.0,2019,277421000,658180094.88
4497.0,2020,,638963433.25
4497.0,2021,864412000,741680613.8
4497.0,2021,864412000,
4497.0,2022,,379656279.36
4497.0,2022,878978000,
4497.0,2023,,371912954.42
105590.0,2010,1965318,
105590.0,2010,,8161238.79
105590.0,2011,6999915,
105590.0,2011,,5894228.015
105590.0,2012,9576927,
105590.0,2012,,7502434.47999999
105590.0,2013,12309524,
105590.0,2013,,7742434.48
105590.0,2014,17798070,
105590.0,2014,,3871217.23999999
105590.0,2015,12820898,
105590.0,2015,,3387315.085
105590.0,2016,9293259,
105590.0,2016,,2364484.19999999
105590.0,2017,,3270208.51499999
105590.0,2017,,
105590.0,2018,12677043,1755940.76
105590.0,2019,3183726,438985.19
105590.0,2019,3183726,
105590.0,2020,,219492.594999999
